char_name,description,extra
Venusia Crickerly,"Venusia Crickerly was the second ex-Auror to become Minister for Magic, serving from 1903 – 1912 (Pm). She died in a strange mandrake-related accident (Pm). Read More",
Delfina Crimp,"Delfina Crimp was a wizarding seamstress in the fifteenth century, famous for inventing the Severing Charm. She was one of the most fashionable dressmaker in London at the time, and pretended to be a muggle.  She was found out by a rival tailor, Snickerton, who spied on her and saw… Read More",
Professor Saul Croaker,"Professor Saul Croaker was an “Unspeakable” who specialised in time-magic (Pm). Arthur Weasley identifies Croaker and Bode as both working in the Department of Mysteries in the campsite during the 1994 Quidditch World Cup (GF7). He developed Professor Croaker’s Law, which states that “the furthest someone… Read More",
Doris Crockford,"Doris Crockford was a witch in the Leaky Cauldron on July 31, 1991, who was just so delighted to meet Harry Potter that she came back more than once to shake his hand (PS5). Read More",
Crispin Cronk,"Crispin Cronk was a wizard famous for keeping sphinxes in his backyard despite repeated warnings from the Ministry of Magic. The Ministry had the last laugh, as they eventually gave up and sent Cronk to Azkaban (FW). Read More",
Glinda Crook,Glinda Crook was a witch who worked for the Campaign for Greater Freedom for Wizards (DP4). Read More,
Crookshanks,"Crookshanks is a most fascinating creature. He appears to be a large ginger cat with a squashed flat face and bottle-brush tail. He belongs to Hermione, who purchased him at the Magical Menagerie in Diagon Alley (August 1993), where he’d been for quite a long time as… Read More",
Mrs. Crouch,"Mrs. Crouch was a short, wispy witch who had the terrible and sad experience of watching her husband renounce their son Barty and condemn him to Azkaban. She was ill and dying at the time and she convinced her husband to allow her to trade places with her son in… Read More",
Barty Crouch Jr.,"Bartemius Crouch Jr., known as Barty, was one of Voldemort’s most faithful Death Eaters. Barty Crouch Jr. was the only child of Ministry official Barty Crouch, Sr., who personally sent his son to Azkanban. Read More",
Barty Crouch Sr.,"Bartemius Crouch Sr. was a strict ministry official, known for sentencing his own son to Azkaban. Barty Crouch Sr. was famous for aggressively prosecuting Dark Wizards in the days of Voldemort’s rise to power. His fervor led him to authorize methods almost as bad as those of the Death Eaters… Read More",
Crouch family,"The Crouch family is a Pure-Blood Wizarding family, one of the so-called “Sacred Twenty-Eight.” Notable members include Bartemius Sr., prominent Ministry official during the second rise of Voldemort, and Bartemius Jr., his son and a Death Eater close to the Dark Lord himself. Read More",
Maximillian Crowdy,"Maximillian Crowdy was the “charismatic” eighth Minister for Magic. He served from 1770 to 1781, when time he mysteriously died in office (Pm). Read More",
Barnabas Cuffe,Barnabas Cuffe was editor of the Daily Prophet (HBP4). Read More,
curly-haired Beauxbatons student,,
Cuthbert Mockridge,Cuthbert Mockridge was Head of the Goblin Liaison Office at the Ministry of Magic. He was one of the Ministry officials present at the 1994 Quidditch World Cup Final (GF7). Read More,
Cyclops,"A one-eyed giant who lived in a cave at the foot of Mount Etna. With the help of several sheep, was slain by the Greek hero, Odysseus. Read More",
Cygnus Black,"Cygnus Black, the great-grandson of Phineas Nigellus Black, is the father of Bellatrix, Andromeda, and Narcissa Black. He is the maternal uncle to Sirius and Regulus. Cygnus was married to to Druella Rosier. Read More",
Cygnus Black ,"Cygnus Black (1889-1943) Son of Phineas Nigellus Black and Ursula Flint (BFT). 4 Siblings: 2 older brothers, Sirius (1877-1952), Phineas (disowned, dates unknown), 1 younger brother, Arcturus (1884-1959) and 1 younger sister, Belvina (1886-1962). (BFT) Married to Violetta Bulstrode. 4 children: Pollux (1912-1990), Cassiopeia (1915-1992), Marius… Read More",(1889)
Cyprian Youdle,"Cyprian Youdle was the only Referee ever to die during a Quidditch match. The originator of the curse was never caught, but was believed to have been a member of the crowd (FW, QA6). Read More",
Dagbert Pips,Dagbert Pips was the proprietor of Pumpkins R Us (DP4). Read More,
Hector Dagworth-Granger,Hector Dagworth-Granger was the founder of the Most Extraordinary Society of Potioneers (HBP9). Read More,
Dangerous Dai Llewellyn,"Dai Llewellyn was the Caerphilly Catapults’ most famous Quidditch player, known for his reckless and foolhardy style of play (QA7). His biography, He Flew Like a Madman, was written by Kennilworthy Whisp (QA). Tragically, he was eaten by a Chimaera while on holiday in Mykonos,… Read More",
Daisy Dodderidge,"Daisy Dodderidge was the builder and first landlady of the Leaky Cauldron (WoM). Daisy wanted to create a gateway between the Muggle world and Diagon Alley. Her inn became famous for its welcoming atmosphere (and for the connection to Diagon Alley, of course) (FW). Read More",
Daisy Hookum,Daisy Hookum wrote bestseller My Life as a Muggle after giving up magic for a year. She was married to celebrity gardener Tilden Toots. Read More,
Daisy Pennifold,Daisy Pennifold came up with the idea of bewitching a Quaffle to fall slowly through the air to allow Chasers to keep it in play more easily. This redesigned Quaffle is known as the Pennifold Quaffle (QA6). Pennifold came up with her Quaffle ideas in… Read More,
Damocles Belby,"Damocles Belby was the potioneer who invented the Wolfsbane Potion, and a favorite student of Horace Slughorn (HBP7). Read More",
Damocles Rowle,"Damocles Rowle was the second Minister for Magic, in office 1718 – 1726. He was a sadistic and cruel man. He first established Azkaban as a prison, despite the horrible effect it had on those incarcerated there. He was eventually viewed as being too “tough on Muggles” and was asked to step down… Read More",
Daphne Greengrass,Daphne is a witch in Harry’s year at Hogwarts. She took her O.W.L.s at the same time as Hermione (OP31). Read More,
Darius Smackhammer,Darius Smackhammer played Seeker for the United States National Team at the Quidditch World Cup tournament in 2014. Smackhammer was considered to be the “outstanding player” from the US team at the 2014 tournament (Pm). A controversial but close-fought match against Jamaica ended when the opposing… Read More,
Dark Lord,"“Dark Lord” is one of the titles of Lord Voldemort, who is also known as “He Who Must Not Be Named”. Read More",
Darren Floyd,"Darren Floyd was a Beater on the Welsh National Team at the Quidditch World Cup tournament in 2014. During the 2014 tournament, the skills of the Welsh team were overshadowed and possibly distracted by the controversy surrounding their volatile manager, Gwenog Jones (Pm). Winning their first… Read More",
Darren O'Hare,"Darren O’Hare played Keeper for the Kenmare Kestrels, an Irish Quidditch team, from 1947 to 1960 (QA7). O’Hare served as Captain of the Irish National Team. During his career he also invented the Hawkshead Attacking Formation as a tactic for Chasers (QA7). He… Read More",
Davey Gudgeon,Davey Gudgeon was a Hogwarts student in the 1970s who almost lost an eye playing a game in which people tried to get close enough to the Whomping Willow to touch its trunk (PA10). Read More,
Roger Davies,"Roger Davies was a popular, athletic Ravenclaw student at Hogwarts, a year or two older than Harry Potter.  He was a Chaser on the Ravenclaw Quidditch Team, and Captain of the Team from 1993 to 1996 (at least). Roger went with Fleur Delacour to the… Read More",
John Dawlish,"John Dawlish was a very capable and self-assured auror. He left Hogwarts with Outstandings in all his N.E.W.T.s. He accompanied Fudge to Hogwarts to confront Harry about his secret D.A. meetings. Dawlish was knocked out along with Kingsley Shacklebolt, Dolores Umbridge, and Cornelius Fudge when … Read More",
Dean Thomas,"Dean Thomas was a “half-blood” Gryffindor boy from London in Harry’s year at Hogwarts. History He was a classmate of Harry’s and best friends with Seamus Finnigan (GF7). He was a black Londoner (JKR) who grew up as a Muggle, and thus had always been a… Read More",
Dean Thomas' wizard father,Dean Thomas’s father was a wizard killed by Death Eaters. He never told Dean’s Muggle mother that he was a wizard because he did not want to jeopardize his family’s safety. His concerns were not unjustified because he was recruited by Death Eaters and murdered by them when he refused to… Read More,
Caradoc Dearborn,Caradoc Dearborn was a member of the Order of the Phoenix during the first war against Voldemort. He went missing and was presumed dead (OP9). Harry saw him among the members of the original Order in Mad-Eye Moody’s photograph at Grimmauld Place. Read More,
Death,"Death personified, wearing a black hood. In the “Tale of the Three Brothers,” he was angry that the three Peverells had cheated him by building a bridge over a raging river. But Death was cunning and patient, so he flattered them and offered gifts that would eventually lead them… Read More",
Death Eater with the baby head,The Death Eater with the baby head is a male Death Eater whose head transformed back and forth from baby form to adult after falling into the Time Room Bell Jar during the Battle of the Department of Mysteries (OP35). It is not certain which of… Read More,
Dedalus Diggle,"Dedalus Diggle was a member of the Order of the Phoenix in both the first and second wars against Voldemort (OP3, OP9). He also happened to be in the Leaky Cauldron when Hagrid brought Harry in on July 31, 1991. Diggle once bowed to Harry in a shop (… Read More",
Apolline Delacour,Apolline Delacour was the wife of Monsieur Delacour and the mother of Fleur and Gabrielle Delacour. She was half veela. Read More,
Delacour family,"The Wizarding family, notable members include Fleur, Gabrielle, Apolline, and Monsieur. Read More",
Fleur Delacour,"Fleur Isabelle Delacour is a talented part-Veela witch who was the Beauxbatons champion for the 1994-1995 Triwizard Tournament (GF16). She married Bill Weasley in August 1997. Triwizard Tournament and Hogwarts Initially, Fleur is a bit haughty and dismissive. She attended the Yule Ball of December 1994 with Roger Davies… Read More",
